Date,Production & Import Tax (B),Corporate Income Tax (B),Personal Income Tax (B),Taxes from ROW (B),Total Tax Receipts (B),Sum Known Components,Other Taxes (B),Personal Income Tax (%),Corporate Income Tax (%),Production & Import Tax (%),Taxes from ROW (%),Other Taxes (%)
2000-10-01,21.905,187.559,1023.916,7.80631881111908,1306.215,1241.1863188111192,65.02868118888068,78.38801422430458,14.358968469968575,1.6769827325516857,0.597628936363392,4.978405636811757
2001-01-01,21.069,154.94,1050.987,7.664395238750459,1301.0,1234.6603952387507,66.33960476124935,80.78301306687165,11.909300538047656,1.619446579554189,0.5891156985972682,5.099124116929235
2001-04-01,21.45,148.655,1048.972,7.335107222595215,1291.202,1226.4121072225953,64.7898927774047,81.23996090464544,11.51291587218731,1.6612427799833023,0.5680836323515001,5.017796810832442
2001-07-01,21.444,130.945,881.709,7.778608661575317,1104.283,1041.8766086615753,62.406391338424555,79.84447827232694,11.857920478717865,1.9418935182376258,0.7044035506817834,5.651304180035784
2001-10-01,21.32,115.785,1002.447,8.4142787534523,1210.806,1147.9662787534521,62.839721246547924,82.79171064563604,9.562638440840233,1.7608105675062726,0.6949320331623975,5.189908312855067
2002-01-01,20.861,115.523,847.798,7.689013021259308,1055.567,991.8710130212593,63.695986978740734,80.31683445958429,10.944165552731375,1.9762838360805142,0.728424914880752,6.034291236723082
2002-04-01,21.5,119.873,836.653,7.953966999897004,1051.808,985.9799669998971,65.82803300010289,79.54427043719005,11.396851896924154,2.0440993032948978,0.7562185303683756,6.258559832222506
2002-07-01,22.563,126.493,825.298,8.089191382926941,1047.885,982.4431913829269,65.4418086170731,78.7584515476412,12.071267362353694,2.1531942913583073,0.7719541154732572,6.245132683173544
2002-10-01,21.9,141.963,819.583,8.751909368110656,1057.477,992.1979093681106,65.27909063188952,77.5036241922992,13.424689142175195,2.0709670281244885,0.8276217230361186,6.173097914364995
2003-01-01,22.21,161.534,803.492,8.155036458141328,1062.924,995.3910364581413,67.53296354185863,75.59261057234572,15.197135449006701,2.0895191001426254,0.7672266745450596,6.353508203959891
2003-04-01,22.181,160.9,812.905,9.736825341804504,1074.61,1005.7228253418045,68.88717465819536,75.6465136188943,14.972873879826171,2.064097672644029,0.9060799119498707,6.410434916685623
2003-07-01,22.95,180.308,716.5,8.663005579975128,994.708,928.4210055799751,66.28699442002483,72.03118905246565,18.126726637364936,2.3072097540182646,0.8709094105983994,6.663965145552749
2003-10-01,22.867,200.39,781.627,9.891753370128631,1083.214,1014.7757533701285,68.4382466298714,72.1581331112781,18.49957626101583,2.111032538353456,0.9131855173704024,6.318072571982213
2004-01-01,23.212,209.161,773.233,9.49628826328659,1086.156,1015.1022882632866,71.05371173671335,71.18986591244719,19.256994391229256,2.1370779151429447,0.8743024264734155,6.541759354707184
2004-04-01,23.357,225.965,792.41,9.243368963352202,1122.2,1050.9753689633521,71.2246310366479,70.61219034040278,20.135893780074852,2.081358046693994,0.8236828518403316,6.3468749809880505
